Beer_Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery,City,State,Ale,Category
On the Count of 3 (2015),1778,0.07,42,293,Hefeweizen,16,Baxter Brewing Company,Lewiston,ME,Other,Other
Summer Swelter,1209,0.047,20.467741935483872,293,American Pale Wheat Ale,12,Baxter Brewing Company,Lewiston,ME,Ale,Ale
Phantom Punch Winter Stout,954,0.068,38.666666666666664,293,Foreign / Export Stout,12,Baxter Brewing Company,Lewiston,ME,Other,Stout
Hayride Autumn Ale,910,0.066,52,293,Rye Beer,12,Baxter Brewing Company,Lewiston,ME,Other,Other
Celsius Summer Ale (2012),707,0.047,20.467741935483872,293,American Pale Wheat Ale,12,Baxter Brewing Company,Lewiston,ME,Ale,Ale
Amber Road,533,0.055,35,293,American Amber / Red Ale,12,Baxter Brewing Company,Lewiston,ME,Ale,Ale
Pamola Xtra Pale Ale,183,0.049,28,293,American Pale Ale (APA),12,Baxter Brewing Company,Lewiston,ME,Ale,Ale
Stowaway IPA,182,0.069,69,293,American IPA,12,Baxter Brewing Company,Lewiston,ME,IPA,IPA
Hoptopus Double IPA,1806,0.088,108,307,American Double / Imperial IPA,16,Beach Brewing Company,Virginia Beach,VA,IPA,IPA
Watermelon Ale,2435,0.05,10,104,Fruit / Vegetable Beer,12,Beer Works Brewery,Lowell,MA,Other,Other
Fenway American Pale Ale,2423,0.058,45,104,American Pale Ale (APA),12,Beer Works Brewery,Lowell,MA,Ale,Ale
Back Bay IPA,2420,0.068,85,104,American IPA,12,Beer Works Brewery,Lowell,MA,IPA,IPA
Bunker Hill Blueberry Ale ,2419,0.048,16,104,Other,12,Beer Works Brewery,Lowell,MA,Other,Other
Oberon,2494,0.058,20.467741935483872,77,American Pale Wheat Ale,12,Bell's Brewery,Kalamazoo,MI,Ale,Ale
Smitten,2325,0.06,52,77,Rye Beer,16,Bell's Brewery,Kalamazoo,MI,Other,Other
Winter White,2022,0.05,16.208333333333332,77,Witbier,16,Bell's Brewery,Kalamazoo,MI,Other,Other
Oberon,1989,0.058,20.467741935483872,77,American Pale Wheat Ale,16,Bell's Brewery,Kalamazoo,MI,Ale,Ale
Two Hearted,1988,0.07,67.57516339869281,77,American IPA,16,Bell's Brewery,Kalamazoo,MI,IPA,IPA
Best Brown,1955,0.058,29.76923076923077,77,American Brown Ale,16,Bell's Brewery,Kalamazoo,MI,Ale,Ale
Moar,2558,0.044,44,54,English India Pale Ale (IPA),12,Bent Brewstillery,Roseville,MN,IPA,IPA
Uber Lupin Schwarz IPA,2557,0.083,92.45454545454545,54,American Double / Imperial IPA,16,Bent Brewstillery,Roseville,MN,IPA,IPA
Nordic Blonde,2556,0.057,27,54,American Blonde Ale,12,Bent Brewstillery,Roseville,MN,Ale,Ale
Cold Press,2496,0.06,68.9,76,American Black Ale,12,Bent Paddle Brewing Company,Duluth,MN,Ale,Ale
Harness the Winter,2410,0.072,87,76,American IPA,12,Bent Paddle Brewing Company,Duluth,MN,IPA,IPA
14° ESB ,1902,0.056,32,76,Extra Special / Strong Bitter (ESB),12,Bent Paddle Brewing Company,Duluth,MN,Other,Other
Bent Hop Golden IPA,1901,0.062,68,76,American IPA,12,Bent Paddle Brewing Company,Duluth,MN,IPA,IPA
Bent Paddle Black Ale,1261,0.06,34,76,American Black Ale,12,Bent Paddle Brewing Company,Duluth,MN,Ale,Ale
Venture Pils,1253,0.05,38,76,German Pilsener,12,Bent Paddle Brewing Company,Duluth,MN,Other,Pilsner
Lost Sailor IPA,1900,0.055,40,279,English India Pale Ale (IPA),12,Berkshire Brewing Company,South Deerfield,MA,IPA,IPA
